statement,future,source
The Soviet delegation is authorized to state that the Soviet Union will stand ready to participate in the convening of such a meeting of the Security Council and in its work.,Yes,UN General Debates Corpus
To that end it is necessary to set up in South Viet-Nam a provisional Government which has been agreed on nationally on a tripartite basis and which will handle all matters during the transitional period and organize general elections on truly free and democratic lines.,Yes,UN General Debates Corpus
And this policy will be continued.,Yes,UN General Debates Corpus
The conclusion of the Soviet-United States strategic arms limitation agreements is an important step which will help to reduce the threat of nuclear war and to curb the arms race and which will open up new prospects for progress towards general disarmament.,Yes,UN General Debates Corpus
The possibilities for further progress towards the solution of new disarmament problems will increase with each new step on which agreement is reached.,Yes,UN General Debates Corpus
The General Assembly will be considering in a specific manner the question of convening a world disarmament conference [item 26].,Yes,UN General Debates Corpus
This will be in the interests of the further development of co-operation among States and will be in line with the political situation taking shape in Europe.,Yes,UN General Debates Corpus
We trust that this Assembly will reach more effective agreements in keeping with Security Council resolution 242 (1967).,Yes,UN General Debates Corpus
We are confident that this session of the Assembly will decide to accept the invitation.,Yes,UN General Debates Corpus
If this agreement is acted upon it will prove that mutually beneficial arrangements can be reached between States which are still somewhere between war and peace.,Yes,UN General Debates Corpus
